epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,385.818,1.33359,0.70616,0.88105,0.97461,0.97561,0.97544,0.58537,1.45431,0.69605,0.87595,0.0003566,0.0003566,0.0003566
85,391.607,1.3894,0.66433,0.90578,0.97068,0.97561,0.99028,0.58543,1.43726,0.7004,0.87311,0.0003368,0.0003368,0.0003368
86,397.203,1.32493,0.64006,0.87166,0.97061,0.97561,0.98998,0.58538,1.42843,0.69818,0.87255,0.000317,0.000317,0.000317
87,403.648,1.31732,0.65997,0.88266,0.97055,0.97561,0.98942,0.56106,1.4413,0.69836,0.8742,0.0002972,0.0002972,0.0002972
88,409.47,1.34285,0.68521,0.87462,0.98616,0.97561,0.98991,0.56774,1.47397,0.698,0.87769,0.0002774,0.0002774,0.0002774
89,414.969,1.34089,0.63165,0.88089,0.98349,0.97561,0.99019,0.56382,1.49361,0.69678,0.87966,0.0002576,0.0002576,0.0002576
90,420.109,1.33018,0.67394,0.88405,0.97878,0.97561,0.99019,0.55908,1.50355,0.69544,0.88086,0.0002378,0.0002378,0.0002378
91,425.6,1.30979,0.64846,0.88817,0.9796,0.97561,0.98991,0.55854,1.49823,0.69248,0.88054,0.000218,0.000218,0.000218
92,429.992,1.23619,0.68119,0.87626,0.98461,0.97561,0.98991,0.57012,1.4547,0.68115,0.87767,0.0001982,0.0001982,0.0001982
93,435.062,1.26483,0.65528,0.88256,0.96231,0.95122,0.98106,0.56311,1.43228,0.67915,0.87507,0.0001784,0.0001784,0.0001784
94,440.559,1.24156,0.65708,0.84786,0.96153,0.95122,0.9804,0.55551,1.42005,0.6786,0.87312,0.0001586,0.0001586,0.0001586
95,445.938,1.28509,0.63601,0.89356,0.96468,0.95122,0.9804,0.54896,1.4127,0.67593,0.87222,0.0001388,0.0001388,0.0001388
96,450.786,1.24543,0.62775,0.87703,0.9762,0.97561,0.98939,0.55883,1.40321,0.67121,0.86873,0.000119,0.000119,0.000119
97,458.022,1.27081,0.62956,0.89816,0.99002,0.97561,0.99019,0.56021,1.41344,0.66268,0.86888,9.92e-05,9.92e-05,9.92e-05
98,464.382,1.2441,0.64857,0.87592,0.99331,0.97561,0.98991,0.56773,1.41664,0.65958,0.86892,7.94e-05,7.94e-05,7.94e-05
99,469.715,1.18288,0.62235,0.88421,0.9918,0.97561,0.98991,0.56331,1.42183,0.65644,0.86942,5.96e-05,5.96e-05,5.96e-05
100,474.684,1.28721,0.64818,0.87573,0.99223,0.97561,0.98991,0.55773,1.43095,0.65648,0.87061,3.98e-05,3.98e-05,3.98e-05
